Date,Description,Category,Debit,Credit
2026-05-14,Daily Store Sales,Sales,0,612.95
2026-05-15,Project Milestone Payment,Consulting Fee,0,15000.0
2026-05-15,Daily Store Sales,Sales,0,498.72
2026-05-16,Daily Store Sales,Sales,0,765.98
2026-05-17,Daily Store Sales,Sales,0,246.65
2026-05-18,Daily Store Sales,Sales,0,441.34
2026-05-19,Daily Store Sales,Sales,0,388.83
2026-05-20,Daily Store Sales,Sales,0,506.79
2026-05-21,Daily Store Sales,Sales,0,450.26
2026-05-22,Daily Store Sales,Sales,0,521.78
2026-05-23,Daily Store Sales,Sales,0,559.91
2026-05-24,Daily Store Sales,Sales,0,750.58
2026-05-25,Daily Store Sales,Sales,0,633.75
2026-05-26,Daily Store Sales,Sales,0,618.77
2026-05-27,Daily Store Sales,Sales,0,546.21
2026-05-28,Daily Store Sales,Sales,0,548.55
2026-05-29,Daily Store Sales,Sales,0,580.71
2026-05-30,Daily Store Sales,Sales,0,550.64
2026-05-31,Daily Store Sales,Sales,0,512.23
2026-06-01,Daily Store Sales,Sales,0,309.68
2026-06-01,Office Rent,Rent,12000,0.0
2026-06-01,SaaS Subscriptions,Software,1500,0.0
2026-06-02,Daily Store Sales,Sales,0,495.33
2026-06-03,Daily Store Sales,Sales,0,529.94
2026-06-04,Daily Store Sales,Sales,0,506.26
2026-06-05,Daily Store Sales,Sales,0,557.66
2026-06-06,Daily Store Sales,Sales,0,656.6
2026-06-07,Daily Store Sales,Sales,0,554.66
2026-06-08,Daily Store Sales,Sales,0,467.64
2026-06-09,Daily Store Sales,Sales,0,547.58
2026-06-10,Daily Store Sales,Sales,0,591.06
2026-06-11,Daily Store Sales,Sales,0,347.42
2026-06-12,Daily Store Sales,Sales,0,597.96
2026-06-13,Daily Store Sales,Sales,0,493.62
2026-06-14,Daily Store Sales,Sales,0,639.95
2026-06-15,Daily Store Sales,Sales,0,571.0
2026-06-15,Project Milestone Payment,Consulting Fee,0,15000.0
2026-06-16,Daily Store Sales,Sales,0,636.07
2026-06-17,Daily Store Sales,Sales,0,259.54
2026-06-18,Daily Store Sales,Sales,0,400.45
2026-06-19,Daily Store Sales,Sales,0,492.79
2026-06-20,Daily Store Sales,Sales,0,521.83
2026-06-21,Daily Store Sales,Sales,0,472.55
2026-06-22,Daily Store Sales,Sales,0,430.1
2026-06-23,Daily Store Sales,Sales,0,511.95
2026-06-24,Daily Store Sales,Sales,0,423.87
2026-06-25,Daily Store Sales,Sales,0,411.85
2026-06-26,Daily Store Sales,Sales,0,459.27
2026-06-27,Daily Store Sales,Sales,0,460.32
2026-06-28,Daily Store Sales,Sales,0,534.35
2026-06-29,Daily Store Sales,Sales,0,557.15
2026-06-30,Daily Store Sales,Sales,0,489.96
